Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio,Vapour Density (kg/m^3),Vapour Mass (kg),Liquid Density (kg/m^3),Liquid Mass (kg),Solid Fuel Mass (kg),Solid Fuel Density (kg/m^3),Solid Fuel Outer Diameter (m),Solid Fuel Length (m),Thrust (N)
3.2159999999998674,3.823511642439617,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.48477282340527,0.6679643823724326,886.956035919536,0.9826724671022913,2.172874792964893,1208,0.075,0.67,2263.33116220327
3.217999999999867,3.8213888824507856,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.48477282340527,0.6678148872618906,886.956035919536,0.9810255228003516,2.1725484723885433,1208,0.075,0.67,2263.33116220327
3.219999999999867,3.8192656289932865,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.43650445742972,0.6680316681017467,887.0472096819492,0.9790118501623314,2.172222110729208,1208,0.075,0.67,2263.33116220327
3.2219999999998667,3.8171456256499026,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.43650445742972,0.6678816664678486,887.0472096819492,0.9773679394108901,2.171896019771164,1208,0.075,0.67,2263.33116220327
3.2239999999998665,3.815025127463919,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.38826230482682,0.6680979950470427,887.1383599076444,0.9753572448277272,2.171569887589149,1208,0.075,0.67,2263.33116220327
3.2259999999998663,3.8129078870579605,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.38826230482682,0.6679474874156878,887.1383599076444,0.9737163727200352,2.1712440269222375,1208,0.075,0.67,2263.33116220327
3.227999999999866,3.810790150428627,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.34004634424348,0.6681633635981197,887.2294866163834,0.9717086619409698,2.1709181248895373,1208,0.075,0.67,2263.33116220327
3.229999999999866,3.8086756792875835,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.34004634424348,0.6680123504914781,887.2294866163834,0.9700708336052515,2.170592495190854,1208,0.075,0.67,2263.33116220327
3.2319999999998656,3.806560710534411,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.29185655435982,0.6682277741381131,887.3205898278998,0.9680661124126599,2.170266823983638,1208,0.075,0.67,2263.33116220327
3.2339999999998654,3.8044490150206793,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.29185655435982,0.6680762560747724,887.3205898278998,0.9664313330113925,2.1699414259345144,1208,0.075,0.67,2263.33116220327
